물품대분류,상품명,물품판매량,제품단가,브랜드명,물품분류,물품중분류,기저귀 유형,기저귀 단계,Age_Range,,,
FC,(1+1) 좋은느낌 입는 오버나이트 대형 8개입,15,0,좋은느낌,여성용품,생리대,,,NaN,,건강보조식품,2
FC,(1+1) 좋은느낌 입는 오버나이트 중형 8개입,10,0,좋은느낌,여성용품,생리대,,,NaN,,건강기능식품,14
FC,(1+1) 화이트 입는 오버나이트 대형 L 8개입 (EA),27,0,화이트,여성용품,생리대,,,NaN,,생리대,235
FC,(1+1) 화이트 입는 오버나이트 중형 M 8개입 (EA),12,0,화이트,여성용품,생리대,,,NaN,,기저귀,682
FC,(핫딜위크/1+1) 좋은느낌 입는 오버나이트 대형 8개입,4,0,좋은느낌,여성용품,생리대,,,NaN,,기타,213
FC,(핫딜위크/1+1) 좋은느낌 입는 오버나이트 중형 8개입,5,0,좋은느낌,여성용품,생리대,,,NaN,,마스크,52
FC,[1+1] 좋은느낌 라인프렌즈 유기농 순면 팬티라이너 롱 36 개입,24,15000,좋은느낌,여성용품,생리대,,,NaN,,마이비데,14
FC,[1+1] 좋은느낌 팬티라이너 유기농 순면 롱 36개입,97,18660,좋은느낌,여성용품,생리대,,,NaN,,목욕용품,81
FC,[대량발주] 택배파손_1224,1,35500,,,,,,NaN,,물티슈,96
FC,[동일상품 1+1] 화이트 입는 오버나이트 대형 L 8개입,26,24800,화이트,여성용품,생리대,,,NaN,,산모전용제품,4
FC,[동일상품 1+1] 화이트 입는 오버나이트 중형 M 8개입,15,24800,화이트,여성용품,생리대,,,NaN,,성인용기저귀,5
FC,[멤버십 가입선물] 라네이처 시그니처 팬티라이너 롱 28개입,1,7100,라네이처,여성용품,생리대,,,NaN,,수유용품,274
FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입,6,9167,좋은느낌,여성용품,생리대,,,NaN,,스킨케어,169
FC,[벚꽃에디션] 좋은느낌 라인프렌즈 유기농 순면 뉴 수퍼롱 오버나이트 8개입 (EA),15,7920,좋은느낌,여성용품,생리대,,,NaN,,식기,1
