,segment,고객수(명),고객수퍼센트,구입액퍼센트
0,Champions,15963,0.19620206489675515,0.6084801155689736
1,Loyal Accounts,13017,0.15999262536873157,0.1389624313489747
2,At Risk,12528,0.15398230088495576,0.13793279490139776
3,Need Attention,2534,0.03114552605703048,0.029466872893837943
4,Potential Loyalist,6468,0.07949852507374632,0.020398767897762248
5,About to Sleep,9801,0.1204646017699115,0.019936623096818654
6,Promising,1786,0.02195181907571288,0.015707706431796895
7,Lost,8202,0.10081120943952802,0.01537993793992951
8,Low Spenders,10641,0.13078908554572272,0.013022373282470679
9,New Active Accounts,420,0.005162241887905605,0.0007123766380379502
